id,class_cvp,class_2025,stable_20_,n_matches
0,1,4,4,662
1,1,15,15,677
2,1,15,15,564
3,1,15,15,659
4,1,15,15,675
5,1,15,15,603
6,1,15,15,244
7,1,15,15,612
8,1,15,15,687
9,1,15,15,678
10,1,15,15,680
11,1,15,15,656
12,1,39,39,649
13,1,15,15,428
14,1,39,39,676
15,1,15,15,372
16,1,15,15,667
17,1,15,15,484
18,1,15,15,635
19,1,15,15,641
20,1,15,15,675
21,1,15,15,644
22,1,15,15,688
23,1,15,15,659
24,1,15,15,453
25,1,15,15,485
26,1,9,9,653
27,1,4,4,682
28,1,15,15,684
29,1,15,15,678
30,1,15,15,681
31,1,15,15,660
32,1,15,15,672
33,1,4,4,656
34,1,15,15,588
35,1,15,15,691
36,1,15,15,686
37,1,15,15,667
38,1,15,15,671
39,1,4,4,54
40,1,15,15,682
41,1,15,15,536
42,1,15,15,586
43,1,41,41,669
44,1,15,15,542
45,1,15,15,672
46,1,15,15,643
47,1,15,15,143
48,1,15,15,653
49,1,15,15,674
50,1,15,15,567
51,1,41,41,675
52,1,15,15,430
53,1,15,15,637
54,1,15,15,670
55,1,15,15,476
56,1,15,15,639
57,1,15,15,673
58,1,15,15,669
59,1,15,15,459
60,1,15,15,672
61,1,15,15,655
62,1,15,15,647
63,1,15,15,672
64,1,15,15,466
65,1,15,15,677
66,1,15,15,663
67,1,15,4,666
68,1,15,15,682
69,1,15,15,497
70,1,15,15,640
71,1,15,15,666
72,1,15,15,671
73,1,15,15,672
74,1,15,15,171
75,1,15,15,676
76,1,15,15,347
77,1,41,41,682
78,1,15,15,684
79,1,15,15,634
80,1,15,15,680
81,1,15,15,645
82,1,15,15,538
83,1,39,39,93
84,1,15,15,422
85,1,4,4,668
86,1,15,15,688
87,1,15,15,687
88,1,15,15,671
89,1,15,15,663
90,1,15,15,687
91,1,15,15,676
92,1,15,15,344
93,1,15,15,682
94,1,15,15,676
95,1,15,15,487
96,1,15,15,670
97,1,15,15,619
98,1,15,15,659
99,1,15,15,612
100,1,21,15,240
101,1,15,15,642
102,1,11,11,606
103,1,15,15,671
104,1,15,15,685
105,1,15,15,670
106,1,15,15,676
107,1,15,15,684
108,1,15,15,679
109,1,15,15,676
110,1,15,15,686
111,1,15,15,393
112,1,15,15,682
113,1,15,15,685
114,1,15,15,686
115,1,15,15,598
116,1,15,12,634
117,1,15,15,383
118,1,15,15,669
119,1,15,15,590
120,1,15,15,444
121,1,15,15,474
122,1,15,15,376
123,1,15,15,684
124,1,15,15,652
125,1,41,41,669
126,1,39,39,619
127,1,15,15,455
128,1,15,15,518
129,1,15,15,645
130,1,15,15,680
131,1,15,15,488
132,1,15,15,578
133,1,15,15,297
134,1,15,15,424
135,1,15,15,686
136,1,21,21,519
137,1,15,15,625
138,1,15,15,686
139,1,15,15,664
140,1,39,39,667
141,1,15,15,686
142,1,15,15,676
143,1,15,15,496
144,1,15,15,675
145,1,15,15,675
146,1,15,15,613
147,1,15,15,279
148,1,15,15,678
149,1,15,15,512
150,1,15,15,422
151,1,15,15,668
152,1,15,15,689
153,1,15,15,667
154,1,15,15,668
155,1,4,4,276
156,1,15,15,685
157,1,15,3,83
158,1,15,15,675
159,1,4,4,633
160,1,15,15,550
161,1,15,15,677
162,1,15,15,683
163,1,15,15,541
164,1,15,15,678
165,1,15,15,634
166,1,15,15,679
167,1,15,15,604
168,1,15,15,679
169,1,15,15,686
170,1,15,15,638
171,1,15,15,689
172,1,4,4,646
173,1,15,15,237
174,1,15,15,542
175,1,15,15,669
176,1,15,15,660
177,1,15,15,659
178,1,15,15,667
179,1,15,15,657
180,1,4,4,622
181,1,15,15,570
182,1,15,15,686
183,1,15,15,547
184,1,15,15,554
185,1,15,15,634
186,1,15,15,685
187,1,15,15,491
188,1,15,15,680
189,1,15,15,692
190,1,15,15,539
191,1,15,15,661
192,1,15,15,673
193,1,15,15,618
194,1,15,15,124
195,1,15,15,568
196,1,15,15,363
197,1,15,15,362
198,1,15,15,679
199,1,15,15,589
200,1,15,15,580
201,1,15,15,681
202,1,12,12,612
203,1,15,15,687
204,1,15,15,667
205,1,15,15,143
206,1,15,15,180
207,1,21,15,680
208,1,15,15,686
209,1,15,15,658
210,1,15,15,628
211,1,15,15,679
212,1,15,15,370
213,1,15,15,50
214,1,15,15,682
215,1,15,15,663
216,1,15,15,597
217,1,15,15,671
218,1,21,15,506
219,1,15,15,691
220,1,15,15,165
221,1,15,15,685
222,1,15,15,675
223,1,15,15,673
224,1,15,15,684
225,1,15,15,671
226,1,15,15,670
227,1,12,12,655
228,1,15,15,681
229,1,15,15,655
230,1,15,15,664
231,1,15,15,357
232,1,15,15,624
233,1,15,15,186
234,1,15,15,686
235,1,15,15,661
236,1,15,15,585
237,1,15,15,672
238,1,15,15,658
239,1,41,41,671
240,1,15,15,677
241,1,15,15,686
242,1,15,15,675
243,1,15,15,644
244,1,4,4,657
245,1,15,15,683
246,1,15,15,671
247,1,15,15,644
248,1,15,15,607
249,1,15,15,650
250,1,15,15,646
251,1,15,15,634
252,1,15,15,669
253,1,15,15,691
254,1,4,15,152
255,1,21,15,6
256,1,15,15,483
257,1,15,15,684
258,1,15,15,680
259,1,15,15,299
260,1,15,15,601
261,1,15,15,684
262,1,15,15,555
263,1,15,15,683
264,1,15,15,556
265,1,15,15,669
266,1,15,15,673
267,1,15,15,273
268,1,15,15,641
269,1,15,15,687
270,1,15,15,682
271,1,15,15,675
272,1,15,15,593
273,1,15,15,666
274,1,15,15,689
275,1,15,15,661
276,1,15,15,670
277,1,12,12,687
278,1,15,4,675
279,1,15,15,667
280,1,15,15,652
281,1,15,15,659
282,1,15,15,324
283,1,15,15,683
284,1,15,15,254
285,1,15,15,197
286,1,15,15,670
287,1,15,15,639
288,1,15,15,683
289,1,15,15,89
290,1,4,4,614
291,1,15,15,663
292,1,15,15,673
293,1,15,15,691
294,1,15,15,625
295,1,15,15,612
296,1,15,15,445
297,1,15,15,678
298,1,15,15,619
299,1,4,4,502
300,1,9,9,665
301,1,15,15,656
302,1,15,15,470
303,1,15,15,689
304,1,15,15,672
305,1,15,15,662
306,1,15,15,613
307,1,15,15,674
308,1,15,15,554
309,1,15,15,685
310,1,39,39,667
311,1,15,15,667
312,1,15,15,658
313,1,15,15,680
314,1,39,39,654
315,1,15,15,684
316,1,15,15,659
317,1,41,41,625
318,1,4,4,688
319,1,15,15,676
320,1,15,15,361
321,1,15,15,683
322,1,15,15,653
323,1,15,15,685
324,1,15,15,232
325,1,15,15,678
326,1,15,15,664
327,1,15,15,682
328,1,15,15,615
329,1,15,15,564
330,1,4,4,666
331,1,15,15,117
332,1,15,15,669
333,1,15,15,689
334,1,15,15,670
335,1,15,15,644
336,1,4,4,670
337,1,15,15,635
338,1,15,15,160
339,1,15,15,659
340,1,15,15,627
341,1,15,15,657
342,1,4,4,667
343,1,15,15,680
344,1,15,15,619
345,1,15,15,583
346,1,15,15,648
347,1,15,15,685
348,1,15,15,270
349,1,15,15,668
350,1,15,15,652
351,1,15,15,682
352,1,15,15,598
353,1,15,15,6
354,1,15,15,671
355,1,15,15,680
356,1,15,15,674
357,1,15,15,579
358,1,15,15,684
359,1,15,15,645
360,1,12,12,614
361,1,15,15,659
362,1,15,15,217
363,1,15,15,508
364,1,41,41,679
365,1,4,4,475
366,1,15,15,675
367,1,15,15,666
368,1,15,15,662
369,1,15,15,669
370,1,4,4,589
371,1,15,15,494
372,1,41,41,507
373,1,15,15,642
374,1,15,15,688
375,1,15,15,223
376,1,21,15,493
377,1,15,15,692
378,1,15,15,663
379,1,15,15,484
380,1,15,15,681
381,1,15,15,660
382,1,15,15,688
383,1,15,15,53
384,1,15,15,672
385,1,15,15,669
386,1,15,15,611
387,1,15,15,646
388,1,15,15,670
389,1,15,15,648
390,1,15,15,654
391,1,15,15,677
392,1,20,15,510
393,1,15,15,685
394,1,15,15,680
395,1,15,15,656
396,1,15,15,616
397,1,15,15,398
398,1,15,15,663
399,1,15,15,681
400,1,15,15,685
401,1,41,41,559
402,1,15,15,647
403,1,15,15,630
404,1,12,12,315
405,1,15,15,654
406,1,15,15,686
407,1,4,4,644
408,1,15,15,648
409,1,15,15,666
410,1,15,15,684
411,1,15,15,687
412,1,15,15,644
413,1,15,15,656
414,1,15,15,678
415,1,15,15,662
416,1,15,11,249
417,1,15,15,617
418,1,3,3,606
419,1,15,15,653
420,1,4,4,576
421,1,15,15,685
422,1,15,15,685
423,1,15,15,130
424,1,15,15,679
425,1,15,15,690
426,1,15,15,679
427,1,15,15,671
428,1,15,15,680
429,1,15,15,637
430,1,15,15,675
431,1,15,15,605
432,1,15,15,307
433,1,15,15,673
434,1,15,15,677
435,1,39,39,10
436,1,15,15,424
437,1,15,15,298
438,1,15,15,634
439,1,15,15,268
440,1,21,21,654
441,1,15,15,612
442,1,15,15,677
443,1,15,15,676
444,1,15,15,686
445,1,41,41,675
446,1,15,15,654
447,1,15,15,645
448,1,15,15,685
449,1,15,15,665
450,1,15,15,640
451,1,15,15,601
452,1,15,15,683
453,1,15,15,687
454,1,15,15,670
455,1,15,15,680
456,1,15,15,529
457,1,15,15,664
458,1,15,15,682
459,1,15,15,693
460,1,15,15,683
461,1,15,15,655
462,1,15,15,681
463,1,15,15,687
464,1,15,15,504
465,1,15,15,633
466,1,39,15,649
467,1,15,15,666
468,1,15,15,552
469,1,15,15,657
470,1,15,15,681
471,1,15,15,554
472,1,15,15,647
473,1,11,11,659
474,1,15,15,644
475,1,15,15,256
476,1,15,15,550
477,1,15,15,640
478,1,4,15,648
479,1,15,15,563
480,1,15,15,630
481,1,15,15,686
482,1,15,15,690
483,1,15,15,629
484,1,15,15,682
485,1,11,11,584
486,1,15,15,686
487,1,15,15,164
488,1,15,15,652
489,1,15,15,289
490,1,15,15,37
491,1,15,15,625
492,1,15,15,691
493,1,15,4,557
