TARGET_FID,n_pontos_pareados,pct_pontos
year,50000,100.0
481,47643,95.29
266,47447,94.89
422,47416,94.83
269,47341,94.68
340,47242,94.48
437,47188,94.38
631,46988,93.98
678,46972,93.94
258,46972,93.94
372,46955,93.91
352,46914,93.83
117,46889,93.78
672,46886,93.77
490,46874,93.75
412,46829,93.66
421,46824,93.65
611,46799,93.6
293,46779,93.56
475,46770,93.54
302,46769,93.54
664,46758,93.52
290,46747,93.49
89,46697,93.39
616,46670,93.34
651,46666,93.33
660,46572,93.14
268,46570,93.14
578,46553,93.11
550,46499,93.0
384,46474,92.95
148,46473,92.95
534,46464,92.93
695,46446,92.89
408,46434,92.87
300,46420,92.84
38,46416,92.83
140,46416,92.83
630,46411,92.82
326,46401,92.8
533,46388,92.78
537,46370,92.74
615,46357,92.71
67,46356,92.71
453,46354,92.71
612,46344,92.69
489,46343,92.69
389,46293,92.59
450,46275,92.55
472,46267,92.53
563,46262,92.52
656,46218,92.44
28,46211,92.42
665,46211,92.42
617,46208,92.42
608,46203,92.41
62,46197,92.39
682,46195,92.39
218,46189,92.38
224,46186,92.37
328,46185,92.37
438,46184,92.37
316,46165,92.33
587,46155,92.31
696,46148,92.3
683,46138,92.28
63,46131,92.26
497,46120,92.24
150,46119,92.24
394,46117,92.23
144,46110,92.22
380,46093,92.19
65,46090,92.18
197,46090,92.18
398,46085,92.17
259,46077,92.15
641,46058,92.12
177,46049,92.1
559,46049,92.1
27,46035,92.07
568,46025,92.05
396,46024,92.05
540,46012,92.02
327,46012,92.02
163,45999,92.0
428,45998,92.0
298,45998,92.0
113,45984,91.97
219,45983,91.97
353,45979,91.96
552,45978,91.96
291,45933,91.87
671,45926,91.85
198,45913,91.83
517,45904,91.81
528,45885,91.77
541,45874,91.75
601,45869,91.74
303,45837,91.67
135,45835,91.67
471,45806,91.61
400,45801,91.6
644,45794,91.59
335,45792,91.58
480,45786,91.57
669,45782,91.56
267,45761,91.52
226,45754,91.51
443,45746,91.49
42,45746,91.49
