id,class_cvp,class_2025,stable_20_,n_matches
0,1,4,4,702
1,1,15,15,702
2,1,15,15,702
3,1,15,15,702
4,1,15,15,702
5,1,15,15,702
6,1,15,15,702
7,1,15,15,702
8,1,15,15,702
9,1,15,15,702
10,1,15,15,702
11,1,15,15,702
12,1,39,39,702
13,1,15,15,702
14,1,39,39,702
15,1,15,15,702
16,1,15,15,702
17,1,15,15,702
18,1,15,15,702
19,1,15,15,702
20,1,15,15,702
21,1,15,15,702
22,1,15,15,702
23,1,15,15,702
24,1,15,15,702
25,1,15,15,702
26,1,9,9,702
27,1,4,4,702
28,1,15,15,702
29,1,15,15,702
30,1,15,15,702
31,1,15,15,702
32,1,15,15,702
33,1,4,4,702
34,1,15,15,702
35,1,15,15,702
36,1,15,15,702
37,1,15,15,702
38,1,15,15,702
39,1,4,4,702
40,1,15,15,702
41,1,15,15,702
42,1,15,15,702
43,1,41,41,702
44,1,15,15,702
45,1,15,15,702
46,1,15,15,702
47,1,15,15,702
48,1,15,15,702
49,1,15,15,702
50,1,15,15,702
51,1,41,41,702
52,1,15,15,702
53,1,15,15,702
54,1,15,15,702
55,1,15,15,702
56,1,15,15,702
57,1,15,15,702
58,1,15,15,702
59,1,15,15,702
60,1,15,15,702
61,1,15,15,702
62,1,15,15,702
63,1,15,15,702
64,1,15,15,702
65,1,15,15,702
66,1,15,15,702
67,1,15,4,702
68,1,15,15,702
69,1,15,15,702
70,1,15,15,702
71,1,15,15,702
72,1,15,15,702
73,1,15,15,702
74,1,15,15,702
75,1,15,15,702
76,1,15,15,702
77,1,41,41,702
78,1,15,15,702
79,1,15,15,702
80,1,15,15,702
81,1,15,15,702
82,1,15,15,702
83,1,39,39,702
84,1,15,15,702
85,1,4,4,702
86,1,15,15,702
87,1,15,15,702
88,1,15,15,702
89,1,15,15,702
90,1,15,15,702
91,1,15,15,702
92,1,15,15,702
93,1,15,15,702
94,1,15,15,702
95,1,15,15,702
96,1,15,15,702
97,1,15,15,702
98,1,15,15,702
99,1,15,15,702
100,1,21,15,702
101,1,15,15,702
102,1,11,11,702
103,1,15,15,702
104,1,15,15,702
105,1,15,15,702
106,1,15,15,702
107,1,15,15,702
108,1,15,15,702
109,1,15,15,702
110,1,15,15,702
111,1,15,15,702
112,1,15,15,702
113,1,15,15,702
114,1,15,15,702
115,1,15,15,702
116,1,15,12,702
117,1,15,15,702
118,1,15,15,702
119,1,15,15,702
120,1,15,15,702
121,1,15,15,702
122,1,15,15,702
123,1,15,15,702
124,1,15,15,702
125,1,41,41,702
126,1,39,39,702
127,1,15,15,702
128,1,15,15,702
129,1,15,15,702
130,1,15,15,702
131,1,15,15,702
132,1,15,15,702
133,1,15,15,702
134,1,15,15,702
135,1,15,15,702
136,1,21,21,702
137,1,15,15,702
138,1,15,15,702
139,1,15,15,702
140,1,39,39,702
141,1,15,15,702
142,1,15,15,702
143,1,15,15,702
144,1,15,15,702
145,1,15,15,702
146,1,15,15,702
147,1,15,15,702
148,1,15,15,702
149,1,15,15,702
150,1,15,15,702
151,1,15,15,702
152,1,15,15,702
153,1,15,15,702
154,1,15,15,702
155,1,4,4,702
156,1,15,15,702
157,1,15,3,702
158,1,15,15,702
159,1,4,4,702
160,1,15,15,702
161,1,15,15,702
162,1,15,15,702
163,1,15,15,702
164,1,15,15,702
165,1,15,15,702
166,1,15,15,702
167,1,15,15,702
168,1,15,15,702
169,1,15,15,702
170,1,15,15,702
171,1,15,15,702
172,1,4,4,702
173,1,15,15,702
174,1,15,15,702
175,1,15,15,702
176,1,15,15,702
177,1,15,15,702
178,1,15,15,702
179,1,15,15,702
180,1,4,4,702
181,1,15,15,702
182,1,15,15,702
183,1,15,15,702
184,1,15,15,702
185,1,15,15,702
186,1,15,15,702
187,1,15,15,702
188,1,15,15,702
189,1,15,15,702
190,1,15,15,702
191,1,15,15,702
192,1,15,15,702
193,1,15,15,702
194,1,15,15,702
195,1,15,15,702
196,1,15,15,702
197,1,15,15,702
198,1,15,15,702
199,1,15,15,702
200,1,15,15,702
201,1,15,15,702
202,1,12,12,702
203,1,15,15,702
204,1,15,15,702
205,1,15,15,702
206,1,15,15,702
207,1,21,15,702
208,1,15,15,702
209,1,15,15,702
210,1,15,15,702
211,1,15,15,702
212,1,15,15,702
213,1,15,15,702
214,1,15,15,702
215,1,15,15,702
216,1,15,15,702
217,1,15,15,702
218,1,21,15,702
219,1,15,15,702
220,1,15,15,702
221,1,15,15,702
222,1,15,15,702
223,1,15,15,702
224,1,15,15,702
225,1,15,15,702
226,1,15,15,702
227,1,12,12,702
228,1,15,15,702
229,1,15,15,702
230,1,15,15,702
231,1,15,15,702
232,1,15,15,702
233,1,15,15,702
234,1,15,15,702
235,1,15,15,702
236,1,15,15,702
237,1,15,15,702
238,1,15,15,702
239,1,41,41,702
240,1,15,15,702
241,1,15,15,702
242,1,15,15,702
243,1,15,15,702
244,1,4,4,702
245,1,15,15,702
246,1,15,15,702
247,1,15,15,702
248,1,15,15,702
249,1,15,15,702
250,1,15,15,702
251,1,15,15,702
252,1,15,15,702
253,1,15,15,702
254,1,4,15,702
255,1,21,15,702
256,1,15,15,702
257,1,15,15,702
258,1,15,15,702
259,1,15,15,702
260,1,15,15,702
261,1,15,15,702
262,1,15,15,702
263,1,15,15,702
264,1,15,15,702
265,1,15,15,702
266,1,15,15,702
267,1,15,15,702
268,1,15,15,702
269,1,15,15,702
270,1,15,15,702
271,1,15,15,702
272,1,15,15,702
273,1,15,15,702
274,1,15,15,702
275,1,15,15,702
276,1,15,15,702
277,1,12,12,702
278,1,15,4,702
279,1,15,15,702
280,1,15,15,702
281,1,15,15,702
282,1,15,15,702
283,1,15,15,702
284,1,15,15,702
285,1,15,15,702
286,1,15,15,702
287,1,15,15,702
288,1,15,15,702
289,1,15,15,702
290,1,4,4,702
291,1,15,15,702
292,1,15,15,702
293,1,15,15,702
294,1,15,15,702
295,1,15,15,702
296,1,15,15,702
297,1,15,15,702
298,1,15,15,702
299,1,4,4,702
300,1,9,9,702
301,1,15,15,702
302,1,15,15,702
303,1,15,15,702
304,1,15,15,702
305,1,15,15,702
306,1,15,15,702
307,1,15,15,702
308,1,15,15,702
309,1,15,15,702
310,1,39,39,702
311,1,15,15,702
312,1,15,15,702
313,1,15,15,702
314,1,39,39,702
315,1,15,15,702
316,1,15,15,702
317,1,41,41,702
318,1,4,4,702
319,1,15,15,702
320,1,15,15,702
321,1,15,15,702
322,1,15,15,702
323,1,15,15,702
