id,class_cvp,class_2025,stable_20_,n_matches_sem_limiar,max_similaridade,melhor_TARGET_FID
0,1,4,4,702,2025.0,year
1,1,15,15,702,2025.0,year
2,1,15,15,702,2025.0,year
3,1,15,15,702,2025.0,year
4,1,15,15,702,2025.0,year
5,1,15,15,702,2025.0,year
6,1,15,15,702,2025.0,year
7,1,15,15,702,2025.0,year
8,1,15,15,702,2025.0,year
9,1,15,15,702,2025.0,year
10,1,15,15,702,2025.0,year
11,1,15,15,702,2025.0,year
12,1,39,39,702,2025.0,year
13,1,15,15,702,2025.0,year
14,1,39,39,702,2025.0,year
15,1,15,15,702,2025.0,year
16,1,15,15,702,2025.0,year
17,1,15,15,702,2025.0,year
18,1,15,15,702,2025.0,year
19,1,15,15,702,2025.0,year
20,1,15,15,702,2025.0,year
21,1,15,15,702,2025.0,year
22,1,15,15,702,2025.0,year
23,1,15,15,702,2025.0,year
24,1,15,15,702,2025.0,year
25,1,15,15,702,2025.0,year
26,1,9,9,702,2025.0,year
27,1,4,4,702,2025.0,year
28,1,15,15,702,2025.0,year
29,1,15,15,702,2025.0,year
30,1,15,15,702,2025.0,year
31,1,15,15,702,2025.0,year
32,1,15,15,702,2025.0,year
33,1,4,4,702,2025.0,year
34,1,15,15,702,2025.0,year
35,1,15,15,702,2025.0,year
36,1,15,15,702,2025.0,year
37,1,15,15,702,2025.0,year
38,1,15,15,702,2025.0,year
39,1,4,4,702,2025.0,year
40,1,15,15,702,2025.0,year
41,1,15,15,702,2025.0,year
42,1,15,15,702,2025.0,year
43,1,41,41,702,2025.0,year
44,1,15,15,702,2025.0,year
45,1,15,15,702,2025.0,year
46,1,15,15,702,2025.0,year
47,1,15,15,702,2025.0,year
48,1,15,15,702,2025.0,year
49,1,15,15,702,2025.0,year
50,1,15,15,702,2025.0,year
51,1,41,41,702,2025.0,year
52,1,15,15,702,2025.0,year
53,1,15,15,702,2025.0,year
54,1,15,15,702,2025.0,year
55,1,15,15,702,2025.0,year
56,1,15,15,702,2025.0,year
57,1,15,15,702,2025.0,year
58,1,15,15,702,2025.0,year
59,1,15,15,702,2025.0,year
60,1,15,15,702,2025.0,year
61,1,15,15,702,2025.0,year
62,1,15,15,702,2025.0,year
63,1,15,15,702,2025.0,year
64,1,15,15,702,2025.0,year
65,1,15,15,702,2025.0,year
66,1,15,15,702,2025.0,year
67,1,15,4,702,2025.0,year
68,1,15,15,702,2025.0,year
69,1,15,15,702,2025.0,year
70,1,15,15,702,2025.0,year
71,1,15,15,702,2025.0,year
72,1,15,15,702,2025.0,year
73,1,15,15,702,2025.0,year
74,1,15,15,702,2025.0,year
75,1,15,15,702,2025.0,year
76,1,15,15,702,2025.0,year
77,1,41,41,702,2025.0,year
78,1,15,15,702,2025.0,year
79,1,15,15,702,2025.0,year
80,1,15,15,702,2025.0,year
81,1,15,15,702,2025.0,year
82,1,15,15,702,2025.0,year
83,1,39,39,702,2025.0,year
84,1,15,15,702,2025.0,year
85,1,4,4,702,2025.0,year
86,1,15,15,702,2025.0,year
87,1,15,15,702,2025.0,year
88,1,15,15,702,2025.0,year
89,1,15,15,702,2025.0,year
90,1,15,15,702,2025.0,year
91,1,15,15,702,2025.0,year
92,1,15,15,702,2025.0,year
93,1,15,15,702,2025.0,year
94,1,15,15,702,2025.0,year
95,1,15,15,702,2025.0,year
96,1,15,15,702,2025.0,year
97,1,15,15,702,2025.0,year
98,1,15,15,702,2025.0,year
99,1,15,15,702,2025.0,year
100,1,21,15,702,2025.0,year
101,1,15,15,702,2025.0,year
102,1,11,11,702,2025.0,year
103,1,15,15,702,2025.0,year
104,1,15,15,702,2025.0,year
105,1,15,15,702,2025.0,year
106,1,15,15,702,2025.0,year
107,1,15,15,702,2025.0,year
108,1,15,15,702,2025.0,year
109,1,15,15,702,2025.0,year
110,1,15,15,702,2025.0,year
111,1,15,15,702,2025.0,year
112,1,15,15,702,2025.0,year
113,1,15,15,702,2025.0,year
114,1,15,15,702,2025.0,year
115,1,15,15,702,2025.0,year
116,1,15,12,702,2025.0,year
117,1,15,15,702,2025.0,year
118,1,15,15,702,2025.0,year
119,1,15,15,702,2025.0,year
120,1,15,15,702,2025.0,year
121,1,15,15,702,2025.0,year
122,1,15,15,702,2025.0,year
123,1,15,15,702,2025.0,year
124,1,15,15,702,2025.0,year
125,1,41,41,702,2025.0,year
126,1,39,39,702,2025.0,year
127,1,15,15,702,2025.0,year
128,1,15,15,702,2025.0,year
129,1,15,15,702,2025.0,year
130,1,15,15,702,2025.0,year
131,1,15,15,702,2025.0,year
132,1,15,15,702,2025.0,year
133,1,15,15,702,2025.0,year
134,1,15,15,702,2025.0,year
